id_date;region;DEP;retail_and_recreation;grocery_and_pharmacy;parks;transit_stations;workplaces;residential
15/02/2020;Auvergne-Rhône-Alpes;1;3.0;3.0;72.0;84.0;1.0;-1.0
15/02/2020;Hauts-de-France;2;3.0;-2.0;25.0;60.0;1.0;0.0
15/02/2020;Auvergne-Rhône-Alpes;3;8.0;-3.0;38.0;46.0;4.0;-1.0
15/02/2020;Provence-Alpes-Côte d'Azur;4;12.0;12.0;35.0;54.0;7.0;-1.0
15/02/2020;Provence-Alpes-Côte d'Azur;5;17.0;12.0;36.0;98.0;1.0;0.0
15/02/2020;Provence-Alpes-Côte d'Azur;6;6.0;-1.0;64.0;19.0;0.0;-1.0
15/02/2020;Auvergne-Rhône-Alpes;7;6.0;-1.0;37.0;11.0;7.0;-2.0
15/02/2020;Grand Est;8;14.0;-4.0;51.0;11.0;0.0;-1.0
15/02/2020;Occitanie;9;11.0;12.0;51.0;63.0;-2.0;-1.0
15/02/2020;Grand Est;10;-6.0;-1.0;38.0;32.0;-5.0;-1.0
15/02/2020;Occitanie;11;5.0;-2.0;63.0;41.0;-1.0;-1.0
15/02/2020;Occitanie;12;-1.0;-4.0;26.0;39.0;-4.0;-1.0
15/02/2020;Provence-Alpes-Côte d'Azur;13;-5.0;-3.0;27.0;8.0;-1.0;-1.0
15/02/2020;Normandy;14;2.0;2.0;16.0;62.0;-3.0;1.0
15/02/2020;Auvergne-Rhône-Alpes;15;8.0;6.0;33.0;45.0;0.0;0.0
15/02/2020;Nouvelle-Aquitaine;16;-2.0;-2.0;20.0;13.0;3.0;-1.0
15/02/2020;Nouvelle-Aquitaine;17;10.0;5.0;45.0;42.0;3.0;0.0
15/02/2020;Centre-Val de Loire;18;1.0;-3.0;32.0;59.0;-1.0;-1.0
15/02/2020;Nouvelle-Aquitaine;19;4.0;2.0;24.0;34.0;0.0;0.0
15/02/2020;Bourgogne-Franche-Comté;21;0.0;5.0;43.0;45.0;3.0;0.0
15/02/2020;Brittany;22;-4.0;0.0;-2.0;14.0;-2.0;1.0
15/02/2020;Nouvelle-Aquitaine;23;19.0;0.0;19.0;18.0;2.0;-1.0
15/02/2020;Nouvelle-Aquitaine;24;7.0;1.0;22.0;16.0;0.0;0.0
15/02/2020;Bourgogne-Franche-Comté;25;5.0;1.0;76.0;17.0;2.0;-1.0
15/02/2020;Auvergne-Rhône-Alpes;26;6.0;-1.0;47.0;45.0;2.0;-1.0
15/02/2020;Normandy;27;-1.0;-3.0;12.0;27.0;-2.0;0.0
15/02/2020;Centre-Val de Loire;28;-1.0;-6.0;7.0;41.0;-2.0;0.0
15/02/2020;Brittany;29;-11.0;-3.0;-21.0;13.0;-3.0;2.0
15/02/2020;Occitanie;30;-1.0;-6.0;36.0;27.0;-5.0;-2.0
15/02/2020;Occitanie;31;-10.0;-10.0;28.0;11.0;-7.0;-2.0
15/02/2020;Occitanie;32;-5.0;-8.0;16.0;;-5.0;0.0
15/02/2020;Nouvelle-Aquitaine;33;6.0;3.0;58.0;20.0;1.0;-1.0
15/02/2020;Occitanie;34;-4.0;-7.0;33.0;15.0;-6.0;-2.0
15/02/2020;Brittany;35;-8.0;-2.0;-5.0;6.0;-4.0;0.0
15/02/2020;Centre-Val de Loire;36;1.0;-3.0;21.0;76.0;-2.0;-1.0
15/02/2020;Centre-Val de Loire;37;0.0;-1.0;29.0;18.0;-1.0;-1.0
15/02/2020;Auvergne-Rhône-Alpes;38;2.0;3.0;58.0;31.0;2.0;-1.0
15/02/2020;Bourgogne-Franche-Comté;39;15.0;9.0;56.0;68.0;9.0;0.0
15/02/2020;Nouvelle-Aquitaine;40;11.0;5.0;67.0;27.0;0.0;-1.0
15/02/2020;Centre-Val de Loire;41;5.0;0.0;9.0;70.0;0.0;-1.0
15/02/2020;Auvergne-Rhône-Alpes;42;1.0;0.0;31.0;17.0;2.0;-1.0
15/02/2020;Auvergne-Rhône-Alpes;43;8.0;-3.0;31.0;31.0;2.0;0.0
15/02/2020;Pays de la Loire;44;-6.0;-6.0;3.0;9.0;-3.0;0.0
15/02/2020;Centre-Val de Loire;45;-2.0;-1.0;21.0;15.0;-1.0;0.0
15/02/2020;Occitanie;46;3.0;-1.0;20.0;28.0;-3.0;0.0
15/02/2020;Nouvelle-Aquitaine;47;2.0;-1.0;19.0;25.0;3.0;0.0
15/02/2020;Occitanie;48;18.0;2.0;29.0;;-2.0;
15/02/2020;Pays de la Loire;49;-6.0;-3.0;12.0;19.0;-2.0;0.0
15/02/2020;Normandy;50;0.0;-1.0;0.0;29.0;-2.0;1.0
15/02/2020;Grand Est;51;-3.0;-1.0;14.0;40.0;-3.0;0.0
15/02/2020;Grand Est;52;15.0;0.0;34.0;78.0;3.0;-1.0
15/02/2020;Pays de la Loire;53;-7.0;-1.0;-6.0;42.0;-4.0;0.0
15/02/2020;Grand Est;54;3.0;-8.0;64.0;24.0;-2.0;-1.0
15/02/2020;Grand Est;55;9.0;-1.0;24.0;42.0;-3.0;-1.0
15/02/2020;Brittany;56;-2.0;-2.0;-8.0;6.0;-3.0;1.0
15/02/2020;Grand Est;57;2.0;-1.0;42.0;17.0;-2.0;-1.0
15/02/2020;Bourgogne-Franche-Comté;58;6.0;1.0;30.0;39.0;3.0;0.0
15/02/2020;Hauts-de-France;59;-4.0;-5.0;-3.0;0.0;-3.0;0.0
15/02/2020;Hauts-de-France;60;-2.0;-3.0;27.0;8.0;-2.0;0.0
